PopNum,tray,seedM,seedN,seed1M
1,9,627.4,156.85,4
1,14,576.8,150.4041721,3.835
3,2,20.4,5,4.08
3,9,0,0,NA
3,12,127.9,46.00719424,2.78
78,2,188.9,142.5660377,1.325
78,7,163.8482275,123.6590396,NA
78,11,317.3385106,239.5007627,NA
113,4,26.59966044,9.833515875,NA
113,7,NA,NA,NA
113,11,244.8,90.49907579,2.705
114,3,0,0,NA
114,7,NA,NA,NA
114,11,112,53.08056872,2.11
115,3,NA,NA,NA
115,6,114.4,60.68965517,1.885
115,12,0,0,NA
116,3,56.18769716,24.5361123,NA
116,9,196,85.58951965,2.29
116,11,67.93533123,29.66608351,NA
117,10,0,0,NA
117,2,0,0,NA
118,6,0,0,NA
118,14,0,0,NA
121,3,576.5,156.8707483,3.675
121,9,374.9713047,102.0330081,NA
121,14,370.1922586,100.7325874,NA
123,4,332,126.4761905,2.625
123,7,292.9,111.5809524,NA
123,14,135.6,51.65714286,NA
125,9,0,0,NA
125,11,494.3,162.3316913,3.045
126,3,303.9375968,121.090676,NA
126,7,84.68413518,33.73869927,NA
126,12,285.7,113.8247012,2.51
127,3,423.1,130.9907121,3.23
127,13,142.78937,44.2072353,NA
127,9,0,0,NA
128,4,299.7,132.6106195,2.26
128,8,117.6715975,52.06707853,NA
128,13,378.9717624,167.6866205,NA
129,1,124.4,68.5399449,1.815
129,6,74,40.77134986,NA
129,12,308.1,169.7520661,NA
130,3,50.81218274,18.64667257,NA
130,9,0,0,NA
130,11,105,38.53211009,2.725
132,4,495.2806957,219.6366722,NA
132,7,324.1,143.7250554,2.255
132,14,211.5145517,93.79802736,NA
136,3,360.2963768,113.4791738,NA
136,7,34.25923913,10.79031154,NA
136,12,410.3,129.2283465,3.175
137,2,0,0,NA
137,9,98.18535262,45.56164855,NA
137,14,96.1,44.59396752,2.155
138,3,136,39.08045977,3.48
138,6,297.5757576,85.51027517,NA
138,14,NA,NA,NA
139,4,224.1,69.70451011,3.215
139,7,110.1582468,34.26384036,NA
139,13,75.08805195,23.35553715,NA
140,3,546.6887907,207.8664604,NA
140,7,387.8,147.4524715,2.63
140,12,355.2513528,135.07656,NA
141,1,503.9,335.9333333,1.5
141,6,118.0029976,78.66866506,NA
141,13,0,0,NA
142,4,522.4270721,266.5444245,NA
142,9,500.7,255.4591837,1.96
142,12,713.8358108,364.2019443,NA
143,1,232.2275109,117.2866216,NA
143,7,174.8023728,88.28402669,NA
143,11,268.9,135.8080808,1.98
144,4,235.7,104.7555556,2.25
144,6,53.97828669,23.99034964,NA
144,13,182.468387,81.09706089,NA
145,3,6.403162055,2.964426877,NA
145,7,NA,NA,NA
145,14,32.4,15,2.16
146,3,200.1,73.43119266,2.725
146,9,99.92197697,36.6686154,NA
146,13,182.6888676,67.04178626,NA
147,1,29.44543969,12.97155933,NA
147,7,45.4,20,2.27
147,14,20.83739784,9.179470415,NA
148,1,91.65031084,35.80090267,NA
148,13,15.99983045,6.24993377,NA
148,15,725.9,283.5546875,2.56
149,4,426.3403929,231.7067353,NA
149,7,105.0150399,57.07339125,NA
149,14,129.5,70.38043478,1.84
150,1,116.5831218,56.59374846,NA
150,9,136.1,66.06796117,2.06
150,14,72.62696701,35.25580923,NA
153,1,424.5268335,202.155635,NA
153,13,476.0245249,226.6783452,NA
153,14,721.2,343.4285714,2.1
154,4,492.3,144.7941176,3.4
154,9,355.0019038,104.4123246,NA
154,14,427.1861723,125.6429919,NA
155,1,76.79480054,29.14413683,NA
155,7,142.3,54.00379507,2.635
155,14,0,0,NA
158,4,145.2420886,64.98527454,NA
158,7,0,0,NA
158,11,179.4,80.26845638,2.235
160,2,180.7,56.38065523,NA
160,9,158.6,49.48517941,NA
160,12,208.5,65.05460218,3.205
161,4,311.8,150.2650602,2.075
161,6,110.0844898,53.05276617,NA
161,12,265.7458673,128.0702975,NA
162,3,NA,NA,NA
162,6,602.8,240.6387226,2.505
162,11,0,0,NA
163,12,625,194.7040498,3.21
165,3,398.9,101.6305732,NA
165,6,136.1,34.67515924,3.925
165,12,633.1,161.2993631,NA
166,1,171.3,72.7388535,2.355
166,8,359.0758133,152.4738061,NA
166,13,0,0,NA
167,1,160.1,60.18796992,2.66
167,7,54.50640704,20.49113046,NA
167,14,176.8441269,66.48275447,NA
168,3,93.53963157,43.00672716,NA
168,8,350.4011154,161.1039611,NA
169,14,239.3360748,107.5667752,NA
170,2,171.3,57.1,3
170,6,237,79,NA
170,13,0,0,NA
171,1,306,100,3.06
171,7,196.9785344,64.37207007,NA
171,14,181.6521095,59.36343449,NA
172,2,255.8,82.38325282,3.105
172,6,561.2619987,180.7607081,NA
172,12,100.463781,32.35548503,NA
173,4,301.6,129.1648822,2.335
173,7,0,0,NA
173,11,327.3472677,140.1915493,NA
174,4,0,0,NA
174,9,0,0,NA
174,13,0,0,NA
175,1,498.2,265,1.88
175,7,452.0933372,240.4751794,NA
175,13,644.6907893,342.9206326,NA
176,1,274.6,103.2330827,2.66
176,8,446.258738,167.7664428,NA
176,14,333.6009436,125.4138886,NA
177,4,456.7749452,249.6037952,NA
177,6,262.8920548,143.6568605,NA
177,14,615.1,336.1202186,1.83
178,3,304.7599792,97.52319333,NA
178,8,275.9377176,88.30006962,NA
178,14,755.6,241.792,3.125
180,2,423.8,134.7535771,3.145
180,9,428.5297287,136.2574654,NA
180,12,498.0893592,158.374995,NA
181,3,24.66820809,13.66659728,NA
181,8,NA,NA,NA
181,12,45.4,25.15235457,1.805
182,2,226.8,58.45360825,3.88
182,8,249.8,NA,NA
182,13,19.3,4.974226804,NA
183,1,0,0,NA
183,6,93.6,35.52182163,2.635
183,13,NA,NA,NA
184,4,289.4,149.1752577,1.94
184,7,33.76871052,17.40655181,NA
184,12,284.7756224,146.791558,NA
185,4,436.158326,207.6944409,NA
185,6,733.9,349.4761905,2.1
185,11,472.5453732,225.0216063,NA
186,4,251,79.05511811,3.175
186,7,0,0,NA
186,12,NA,NA,NA
187,2,64.1,18.71532847,NA
187,7,0,0,NA
187,12,301.2,87.94160584,3.425
188,1,189.4217493,68.13731988,NA
188,8,256.3991786,92.22992035,NA
188,11,827.6,297.6978417,2.78
189,4,340.0527479,134.2182932,NA
189,8,445.8,176.9047619,2.52
189,11,241.486734,95.82806907,NA
190,1,115.4223699,49.64403007,NA
190,7,227.9711538,98.05210918,NA
190,14,338.7,145.6774194,2.325
191,2,0,0,NA
191,6,133.8,50.20637899,2.665
191,12,111.7715193,41.94053258,NA
192,4,490.8,185.557656,2.645
192,7,104.4377579,39.48497465,NA
192,13,227.5507683,86.03053623,NA
195,4,0,0,NA
195,9,0,0,NA
195,14,0,0,NA
196,4,358.3876873,157.5330494,NA
196,7,68.07654845,29.92375756,NA
196,11,595.8,261.8901099,2.275
197,2,593.8,215.1449275,2.76
197,8,716.615819,259.6434127,NA
197,13,644.8927853,233.6568063,NA
198,2,65.36054781,34.2201821,NA
198,7,231.3,121.0994764,1.91
198,14,NA,NA,NA
200,4,331.1196128,175.6602721,NA
200,8,64.72236373,34.33547147,NA
200,14,169.4,89.86737401,1.885
201,4,451.8,136.7019667,3.305
201,8,371.8697355,112.5173178,NA
201,13,213.6388526,64.64110518,NA
202,4,533.0398761,230.7531931,NA
202,6,872.8,377.8354978,2.31
202,11,651.0520325,281.8407067,NA
203,4,445.6,192.9004329,2.31
203,7,159.3929289,69.0012679,NA
203,13,106.1971192,45.97277886,NA
204,1,570.2,265.2093023,2.15
204,6,310.1244514,144.2439309,NA
204,14,414.7653866,192.9141333,NA
205,1,NA,NA,NA
205,8,244.097191,166.0525109,NA
205,14,82.8,56.32653061,1.47
206,4,527.4,194.2541436,2.715
206,9,0,0,NA
206,12,708.1235585,260.8189902,NA
207,2,403.5,131.6476346,3.065
207,9,NA,NA,NA
207,11,307.9605372,52.15058824,NA
208,1,34.4,12,2.867
208,6,58.31811765,20.34352941,NA
208,14,38.32564706,13.36941176,NA
209,1,289.6,119.6694215,2.42
209,6,213.098953,88.0574186,NA
209,13,217.9191409,90.04923179,NA
211,1,276.6,139.3450882,NA
211,7,190.5,95.9697733,1.985
211,11,0,0,NA
212,2,223.1,90.50709939,2.465
212,9,345.4451613,140.1400249,NA
212,12,97.63171029,39.6071847,NA
213,3,220.3,66.65658094,NA
213,6,180.3,54.55370651,3.305
213,12,0,0,NA
216,2,0,0,NA
216,6,110.5,38.9084507,2.84
216,12,748.5,263.556338,NA
218,2,288.5,135.4460094,NA
218,7,358.2,168.1690141,NA
218,11,339.7,159.4835681,2.13
219,4,236.5,97.92960663,2.415
219,8,90.95065789,37.66072791,NA
219,11,213.7269737,88.49978206,NA
220,1,226.2719572,81.24666327,NA
220,8,133,47.75583483,2.785
220,12,295.8849755,106.242361,NA
221,2,161.8,54.56998314,2.965
221,9,NA,NA,NA
221,14,31.42202899,10.5976489,NA
222,3,532.6,222.8451883,2.39
222,6,27.48166832,11.49860599,NA
222,11,396.8598747,166.0501568,NA
223,3,281.7,99.36507937,2.835
223,9,222.042556,78.32188926,NA
223,13,0,0,NA
224,1,93.79179077,38.04940802,NA
224,9,214.8097348,87.14390866,NA
224,13,317.6,128.8438134,2.465
