tag,genotype,lat,lon,mat,map,grow_out,wt_seed,bag_n,n_planted,n_found,n_germ_initial,not_germ_initial,viable_dye,unviable_dye,germ_final,not_germ_final,notes
1,1,50.08,-120.65,4.51,480.63,2020,0.0028275,1,10,10,10,0,,,10,0,
6,1,50.08,-120.65,4.51,480.63,2020,0.0028275,2,10,10,9,1,0,1,9,1,
7,1,50.08,-120.65,4.51,480.63,2020,0.0028275,3,10,10,10,0,,,10,0,
8,2,50.09,-120.45,4.51,480.63,2020,0.002335,1,10,10,10,0,,,10,0,
19,2,50.09,-120.45,4.51,480.63,2020,0.002335,2,10,10,10,0,,,10,0,
21,2,50.09,-120.45,4.51,480.63,2020,0.002335,3,10,10,8,2,0,2,8,2,
24,7,49.71,-120.05,4.01,553.68,2020,0.0022575,1,10,10,10,0,,,10,0,
26,7,49.71,-120.05,4.01,553.68,2020,0.0022575,2,10,10,10,0,,,10,0,
37,7,49.71,-120.05,4.01,553.68,2020,0.0022575,3,10,10,9,1,0,1,9,1,
39,8,41.18,-104.9,7.77,384.04,2020,0.0023375,1,10,10,7,3,2,1,9,1,
42,8,41.18,-104.9,7.77,384.04,2020,0.0023375,2,10,10,6,4,0,4,6,4,
52,8,41.18,-104.9,7.77,384.04,2020,0.0023375,3,10,10,3,7,6,1,9,1,
56,19,43.48,-110.74,3.83,479.3,2020,0.0024525,1,10,9,8,1,0,1,8,1,
74,19,43.48,-110.74,3.83,479.3,2020,0.0024525,2,10,10,8,2,0,2,8,2,
77,19,43.48,-110.74,3.83,479.3,2020,0.0024525,3,10,10,10,0,,,10,0,
81,24,40.64,-104.56,9.07,352.29,2020,0.0020475,1,10,6,4,2,2,0,6,0,
87,24,40.64,-104.56,9.07,352.29,2020,0.0020475,2,10,10,10,0,,,10,0,
92,24,40.64,-104.56,9.07,352.29,2020,0.0020475,3,10,10,9,1,0,1,9,1,
96,25,41.83,-103.71,9.4,400.11,2020,0.0017225,1,10,10,9,1,1,0,10,0,
100,25,41.83,-103.71,9.4,400.11,2020,0.0017225,2,10,10,9,1,0,1,9,1,
114,25,41.83,-103.71,9.4,400.11,2020,0.0017225,3,10,10,7,3,1,2,8,2,
115,29,39.55,-119.58,11.79,242.88,2020,,1,10,10,10,0,,,10,0,
123,29,39.55,-119.58,11.79,242.88,2020,,2,10,9,9,0,,,9,0,
126,29,39.55,-119.58,11.79,242.88,2020,,3,10,10,10,0,,,10,0,
128,30,39.95,-118.76,11.17,149.36,2020,0.00198,1,10,10,10,0,,,10,0,
134,30,39.95,-118.76,11.17,149.36,2020,0.00198,2,10,10,9,1,0,1,9,1,
135,30,39.95,-118.76,11.17,149.36,2020,0.00198,3,10,10,10,0,,,10,0,
137,32,41.31,-117.63,9.94,215.44,2020,0.002245,1,10,10,10,0,,,10,0,
145,32,41.31,-117.63,9.94,215.44,2020,0.002245,2,10,10,8,2,0,2,8,2,
150,32,41.31,-117.63,9.94,215.44,2020,0.002245,3,10,10,8,2,2,0,10,0,
158,33,41.54,-117.75,9.87,339.26,2020,,1,10,10,7,3,0,3,7,3,
161,33,41.54,-117.75,9.87,339.26,2020,,2,10,10,9,1,0,1,9,1,
166,33,41.54,-117.75,9.87,339.26,2020,,3,10,10,10,0,,,10,0,
168,34,41.54,-117.78,9.4,253.54,2020,,1,10,10,9,1,0,1,9,1,
