"ID","Genotype.ID","rep","Seed.wt...g.","Seed.ProjArea.cm2.","Time.to.emergence..d.","Plant.ht..21d..cm.","Plant.ht..35d..cm.","Leaf.no..21d","Leaf.no..35d","Tiller.no..35d","Shoot.dry.wt...g.","Shoot.leaf.area..cm2.","Root.dry.wt..g.","Root.Length..cm.","Root.ProjArea.cm2.","Root.SurfArea..cm2.","Root.AvgDiam..mm.","Root.vol...cm3.","Root.no..tips","Root.no..forks","Root.no..crossings","Root.length..cm..by.diam.class..mm...0..L...0.5","Root.length..cm..by.diam.class..mm...0.5..L...1.0","Root.length..cm..by.diam.class..mm...1.0..L...1.5","Root.length..cm..by.diam.class..mm...1.5..L...2.0","Root.length..cm..by.diam.class..mm...2.0..L...2.5","Root.length..cm..by.diam.class..mm...2.5..L...3.0","Root.length..cm..by.diam.class..mm...3.0..L...3.5","Root.length..cm..by.diam.class..mm...3.5..L...4.0","Root.length..cm..by.diam.class..mm...4.0..L...4.5","Root.length..cm..by.diam.class..mm...L..4.5"
1,37,6,7e-04,"0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,73,6,0.0017,"0.0887","5","4.2","5","3","4","2","0.0082","1.6532","0.0067","171.9702","4.5336","14.2426","0.2636","0.094","588","726","56","165.7276","5.8428","0.3999","0","0","0","0","0","0","0"
3,9,6,0.0025,"0.0709","7","4.9","8.5","3","9","3","0.0322","9.2127","0.0225","378.4777","14.5604","45.7429","0.3847","0.44","955","3040","226","307.242","58.1424","7.4843","3.4349","1.0106","0.6605","0.0487","0.3286","0.0685","0"
4,9,10,0.0022,"0.0779","5","3.6","5.8","3","5","3","0.0123","2.3682","0.0112","268.657","7.2226","22.6903","0.2688","0.153","791","1458","161","253.0839","14.2863","0.7661","0.4993","0","0.0098","0","0","0","0"
5,1,3,0.0026,"0.0811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,93,10,9e-04,"0.0583","7","3.5","8.9","3","9","3","0.0355","10.5948","0.0159","340.5973","11.6394","36.5664","0.3417","0.312","964","1926","166","287.0944","48.5986","3.7994","0.5798","0.2642","0.1288","0.1321","0","0","0"
7,63,4,0.0011,"0.066","7","4","10","3","12","4","0.0432","13.1779","0.0209","535.1449","17.3367","54.4647","0.324","0.441","1458","2775","256","465.408","62.5186","5.3989","0.9878","0.3733","0.4583","0","0","0","0"
8,46,3,0.002,"0.0686","7","4.6","12.6","3","10","3","0.0435","11.9993","0.0269","467.4996","15.9247","50.0289","0.3406","0.426","1500","3272","247","396.3323","60.8143","6.5286","1.4421","1.2643","0.5899","0.2216","0.2337","0.0259","0.0182"
9,104,2,0.0023,"0.0677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,43,9,0.0026,"0.0851","7","4.7","8.6","3","7","2","0.0243","6.6761","0.0151","376.8311","12.3931","38.9339","0.3289","0.32","1030","2220","172","321.4212","52.1639","2.9881","0.2064","0.0243","0","0","0","0","0"
11,82,4,0.0017,"0.0646","5","9","11.6","4","12","3","0.0857","14.4998","0.0227","185.2735","8.5413","26.8334","0.461","0.309","674","1155","46","131.1357","46.078","5.3583","1.6199","0.7562","0.322","0.0032","0","0","0"
12,43,4,0.0013,"0.0628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,34,4,0.0017,"0.0671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,34,2,0.0021,"0.0756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2,1,0.0015,"0.0526","7","3.9","5.8","3","6","1","0.0302","3.5443","0.0175","306.6336","10.0712","31.6397","0.3284","0.26","1089","2016","116","266.3798","32.4654","4.8889","1.8403","0.3161","0.6898","0.0309","0","0","0"
16,83,7,0.0026,"0.0701","11","8.5","11.6","4","10","3","0.0647","13.0388","0.0356","709.6304","22.6098","71.0308","0.3186","0.566","1708","5062","463","619.3362","76.7711","9.1006","3.0041","1.0054","0.3474","0","0","0.0656","0"
17,29,5,0.0023,"0.0921","7","4","10.5","3","7","3","0.0274","7.5724","0.0094","343.921","9.5058","29.8633","0.2764","0.206","1124","1511","170","313.7975","29.3785","0.6295","0.0539","0","0","0","0","0","0"
